"IC_1"	"IC_2"	"VC_1"	"VC_2"
332.909206781088	503.130034553288	441.574696939366	455.197732446559
361.273668345396	218.752188936212	384.679495602947	310.60551155177
129.879376636568	99.0141486763908	129.924862753313	149.947488335337
85.0933846929237	111.678749088487	132.47240908181	104.427715090681
77.6290527023164	141.613259153443	105.298581577849	133.881686013694
865.862510910452	861.768491677657	630.093125248095	631.921557984635
500.110243370692	506.58401648386	456.010792800845	511.428040572311
536.685470124668	586.02560088701	569.801195473681	530.171476614228
783.008425814711	951.572021872523	780.398358629379	811.323017242985
227.662125713524	192.847324456924	234.374262221663	211.533063901636
200.790530547338	192.271660801829	268.341546601615	243.664668544923
436.66342145053	504.857025518574	397.417227245429	479.296435929024
139.583008224357	173.850423838779	169.836421899756	152.625122055611
295.587546828051	213.571216040354	202.10534206071	160.658023216433
306.784044813962	375.908366777228	320.990837390539	310.60551155177
188.847599362366	138.159277222871	166.439693461761	136.559319733968
194.072631755791	135.85662260249	133.321591191308	147.269854615063
908.409203256914	1215.22597590617	1097.14328547242	1108.54036019339
822.56938536493	1732.17193818174	969.765969047607	971.981040459418
445.620619839259	775.994607068458	638.584946343083	559.625447537241
947.223729608072	1245.16048597112	1136.20566250937	1124.60616251503
473.238648204506	738.576469487264	616.506211496114	570.335982418336
476.970814199809	747.211424313693	648.775131657068	597.112319621075
424.720490265558	458.80393311095	371.941763960466	353.447651076152
